Narration,Category
imps  failed 811114216954,IMPS BOUNCED
bytransfer-inb reversalofmoafjjbbg2-imps00027232485mxafjjbfg4transferfrom4597868162093-,IMPS BOUNCED
bytransfer-inb reversalofmoafjjaxq3-imps00027232480mxafjjbfa4transferfrom4597868162093-,IMPS BOUNCED
restored against failed transfer added back to savings bank account transaction id : s17707854 imps reference no : 217315156497 remarks : reversed for transaction m3141536,IMPS BOUNCED
restored against failed transfer added back to savings bank account transaction id : s17729172 imps reference no : 217315158110 remarks : reversed for transaction m3150269,IMPS BOUNCED
 recd:imps/218907073322/citizen/kkbk/x8791/rtn,IMPS BOUNCED
   imps  failed 811114216954   ,IMPS BOUNCED
"imps chargesreversal/218218827184/01/07/2022  4,",IMPS BOUNCED
imps chargesreversal/208415723733/25/03/202215:28:35,IMPS BOUNCED
imps failed229114754899,IMPS BOUNCED
etpc imps failed 307617117972 17032,IMPS BOUNCED
imps_rev_811210641383,IMPS BOUNCED
imps/p2a/125110968070/mrsvanitabenram/inetimps001returned:6:funds insufficient,IMPS BOUNCED
imps/p2a/125908733466/babapetroleum/jimyreturned:8:funds insufficient,IMPS BOUNCED
rev:imps 77770103787913 ref208219847612,IMPS BOUNCED
 rev:imps 510101006900254 ref 211609453184  ,IMPS BOUNCED
 rev:imps 510101006900254 ref 211609458076  ,IMPS BOUNCED
rev-imps-211610138006-goel trading compa ny hpr-ubin-xxxxxxxxxxx0285-goel trading hpr,IMPS BOUNCED
rev-imps-218219146030-laxmi sales india private limited pnb cc-punb-xxxxxxxxxxxx 0899-lsiplpnb,IMPS BOUNCED
rev-imps-224216151971-laxmi sales india gecl-punb-xxxxxxxxxxxx0022-lsiplgelc,IMPS BOUNCED
rev-imps-225711317414-laxmi sales india private limited-icic-xxxxxxxx0224-lsipli cici,IMPS BOUNCED
imps ret 233411396538 30/11/2022,IMPS BOUNCED
rev-imps-304615341156-cooler ap electric al-cnrb-xxxxxxxxxx2345-cooler,IMPS BOUNCED
rev-imps-310816399816-jp panel electric noida-esfb-xxxxxxxx5910-jp electrical,IMPS BOUNCED
imps-312813301786-shri balaji transport roorkee-icic-xxxxxxxx2243-balaji transpo rt,UNCA
rev-imps-805911330680-dns electronics pv t ltd-punb-xxxxxxxxxxxx1727-against vivo stock,IMPS BOUNCED
imps-809620321151-manju kumari-sbin-xxxx xxx9078-payment return,IMPS BOUNCED
imps-810219373411-manju kumari-sbin-xxxx xxx9078-for payment return,IMPS BOUNCED
rev-imps-134511372564-dalkan ship breaki ng ltd-punb-xxxxxxxxxxxx7266-payment vis vas industries,IMPS BOUNCED
rev-imps-202115321741-zen agrotech-ciub- xxxxxxxxxxx9254-payment visvas industrie s,IMPS BOUNCED
rev-imps-202115325181-zen agrotech-ciub- xxxxxxxxxxx9254-payment visvas industrie s,IMPS BOUNCED
rev-imps-202912398619-sai metaltech llp- bkid-xxxxxxxxxxx0909-payment visvas indu stries,IMPS BOUNCED
rev-imps-202913338122-sai metaltech llp- bkid-xxxxxxxxxxx0909-payment visvas indu stries,IMPS BOUNCED
rev-imps-204010309235-patel industries-u tib-xxxxxxxxxxx6518-payment visvas indus tries,IMPS BOUNCED
rev-imps-204011322483-patel industries-u tib-xxxxxxxxxxx6518-payment visvas indus tries,IMPS BOUNCED
rev-imps-211117317137-paras steel corpor ation-punb-xxxxxxxxxxxx7202-payment visv as industries,IMPS BOUNCED
rev-imps-212712336616-barkat ali-sbin-xx xxxxx6156-brokerage,IMPS BOUNCED
rev-imps-227710322603-barkat ali-sbin-xx xxxxx6156-brokerage,IMPS BOUNCED
imps o/w rev(p2a)120120 1156rrno:001211516108 /,IMPS BOUNCED
by transfer/imps/rev/903514874180/transferfrom97158026382,IMPS BOUNCED
by transfer/imps/rev/903514874385/transferfrom97158026382,IMPS BOUNCED
by transfer/imps/p2a/904312580778/transferfrom97157026383120219  **********return chq00008340 reas,IMPS BOUNCED
rev:imps 11180081 ref 905121065678,IMPS BOUNCED
rev:imps 11180081 ref 905122074623,IMPS BOUNCED
rev:imps 11180081 ref 905208152578,IMPS BOUNCED
return-imps/724715243902/celebi del,IMPS BOUNCED
return-imps/809419124349/ram kumar,IMPS BOUNCED
return-imps/809420124439/ram kumar,IMPS BOUNCED
return-imps/811113216035/dcsc/andhr,IMPS BOUNCED
rev-imps-208014382358-mujahidul islam-pu nb-xxxxxxxxx3752-transfer,IMPS BOUNCED
rev-imps-208014385056-mujahidul islam-pu nb-xxxxxxxxx3752-transfer,IMPS BOUNCED
rev-imps-209215384508-mujahidul islam-pu nb-xxxxxxxxx3752-transfer,IMPS BOUNCED
rev-imps-209215384966-mujahidul islam-pu nb-xxxxxxxxx3752-transfer,IMPS BOUNCED
rev-imps-209215385392-mujahidul islam-pu nb-xxxxxxxxx3752-transfer,IMPS BOUNCED
rev-imps-212415362487-mujahidul islam-fd rl-xxxxxxxxxx0275-transfer,IMPS BOUNCED
rev-imps-212415365632-mujahidul islam-fd rl-xxxxxxxxxx0275-transfer,IMPS BOUNCED
