XN Date,Cheque No,Narration,Debits,Credits,Balance,Sub Category
24-06-2019,,ecsrtnchg210619_sr618430837,413,,57857.6,ECS BOUNCED CHARGES
24-07-2019,,ecsrtnchg230719_sr624543317,413,,8454.2,ECS BOUNCED CHARGES
26-07-2019,,ecsrtnchg250719_sr624993505,413,,3495.44,ECS BOUNCED CHARGES
01-03-2019,,ecsrtnchgs280219_sr597683432,413,,8687.86,ECS BOUNCED CHARGES
10-11-2021,,ecsrtnchgs071121_sr787159543gst,0.01,,0,ECS BOUNCED CHARGES
09-11-2021,,ecsrtnchgs071121_sr787159543,3.99,,0.01,ECS BOUNCED CHARGES
20-09-2021,,ecsrtnchgs150921_sr776206431gst,0.01,,0,ECS BOUNCED CHARGES
20-09-2021,,ecsrtnchgs070921_sr774643294gst,411.99,,0.01,ECS BOUNCED CHARGES
11-08-2022,,ecsrtnchgs060822_sr846784740,590,,47745.93,ECS BOUNCED CHARGES
22-08-2022,,ecsrtnchgs120822_sr848192382,590,,364,ECS BOUNCED CHARGES
03-06-2022,,ecsrtnchgs280522_sr832052262gst,303.01,,0,ECS BOUNCED CHARGES
23-08-2022,,ecsrtnchgs180822_sr848691043,4.13,,0.01,ECS BOUNCED CHARGES
24-08-2022,,ecsrtnchgs180822_sr848691043gst,0.01,,0,ECS BOUNCED CHARGES
23-08-2022,,ecsrtnchgs160822_sr848305334  0,33.06,,0,ECS BOUNCED CHARGES
24-08-2022,BANK CHARGES,ecsrtnchgs160822_sr848305334gst  0,518,,0,ECS BOUNCED CHARGES
29-04-2022,BANK CHARGES,ecsrtnchgs050422_sr821627376gst  0,590,,145611,ECS BOUNCED CHARGES
29-04-2022,BANK CHARGES,ecsrtnchgs220422_sr825256019gst  0,590,,143841,ECS BOUNCED CHARGES
29-04-2022,BANK CHARGES,ecsrtnchgs090422_sr822769500gst,590,,142661.39,ECS BOUNCED CHARGES
29-04-2022,BANK CHARGES,ecsrtnchgs100322_sr815181224gst,590,,142071.39,ECS BOUNCED CHARGES
29-04-2022,BANK CHARGES,ecsrtnchgs050322_sr813829726gst,589.6,,141481.79,ECS BOUNCED CHARGES
11-08-2022,,ecsrtnchgs060822_sr846784740  0,590,,8666,ECS BOUNCED CHARGES
08-06-2022,,ecsrtnchgs622_sr833923032  0,127,,0,ECS BOUNCED CHARGES
09-06-2022,BANK CHARGES,ecsrtnchgs070622_sr833923032gst,463,,4357.79,ECS BOUNCED CHARGES
10-08-2022,,ecsrtnchgs822_sr846804333  0,1.98,,0,ECS BOUNCED CHARGES
12-08-2022,BANK CHARGES,ecsrtnchgs070822_sr846804333gst,588.02,,5457.18,ECS BOUNCED CHARGES
10-08-2022,,ecsrtnchgs070822_sr846804333,49.33,,0.01,ECS BOUNCED CHARGES
23-08-2022,,ecsrtnchgs170822_sr848699095,590,,2680.42,ECS BOUNCED CHARGES
07-03-2022,,ecsrtnchgs050322_sr813828602,413,,13086.95,ECS BOUNCED CHARGES
08-03-2022,,ecsrtnchgs070322_sr814034302,413,,20600.95,ECS BOUNCED CHARGES
10-03-2022,,ecsrtnchgs090322_sr814821097,413,,69.95,ECS BOUNCED CHARGES
25-04-2022,,ecsrtnchgs230422_sr825499080,85.25,,0.01,ECS BOUNCED CHARGES
26-04-2022,,ecsrtnchgs230422_sr825499080gst,0.01,,0,ECS BOUNCED CHARGES
26-05-2022,,ecsrtnchgs250522_sr831457375,413,,14860.54,ECS BOUNCED CHARGES
28-06-2022,,ecsrtnchgs240622_sr837656730,0.01,,0,ECS BOUNCED CHARGES
07-07-2022,,ecsrtnchgs240622_sr837656730gst,412.99,,1082.49,ECS BOUNCED CHARGES
29-08-2022,,ecsrtnchgs240822_sr849990174,590,,4472.54,ECS BOUNCED CHARGES
30-08-2022,,ecsrtnchgs290822_sr850613956,590,,795.54,ECS BOUNCED CHARGES
06-06-2022,BANK CHARGES,ecsrtnchgs090522_sr828373615gst,536.39,,11085.07,ECS BOUNCED CHARGES
07-06-2022,,ecsrtnchgs050622_sr833517046,8.06,,0.01,ECS BOUNCED CHARGES
21-06-2022,BANK CHARGES,ecsrtnchgs050622_sr833517046gst,581.91,,19558.09,ECS BOUNCED CHARGES
07-07-2022,,ecsrtnchgs050722_sr839588154,0.44,,0.01,ECS BOUNCED CHARGES
07-07-2022,,ecsrtnchg01_722_sr839588154  0,0.01,,0,ECS BOUNCED CHARGES
12-07-2022,BANK CHARGES,ecsrtnchg01_050722_sr839588154gst,6.99,,0.01,ECS BOUNCED CHARGES
12-07-2022,BANK CHARGES,ecsrtnchgs722_sr839588154gst  0,0.01,,0,ECS BOUNCED CHARGES
28-07-2022,BANK CHARGES,ecsrtnchgs110722_sr841050914gst  0,590,,89,ECS BOUNCED CHARGES
